anio,ID,sede,facultad,carrera,prom_simp_x_ciclo,prom_pond_x_ciclo,cursos_x_ciclo,Promedio_Simple_Acumulado,Promedio_Ponderado_Acumulado,cursos_acumulados,No_Sede,Sede,No_Facultad,Facultad,No_Carrera,Carrera,No_curso,Nombre_Curso,Nota,Nota_Calculo_Prom,Creditos,No_ciclo,Nombre_Ciclo,Eje,No_pensum,No_jornada,No_seccion_fac,No_tip_examen,Tipo_Examen
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,176,ESTRATEGIAS DE COMUNICACION LINGUISTICA (EDP),73,73.0,4,501,Primer Ciclo 2005,,4001,1,21,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20641,INGENIERIA PRIMERO I,A,,1,501,Primer Ciclo 2005,INGENIERÍA PRIMERO (OTROS),4001,1,1,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20295,INTRODUCCIÓN A LA PROGRAMACIÓN,66,66.0,6,501,Primer Ciclo 2005,QUIMICA (CIENCIAS BASICAS),4001,1,1,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20486,LOGICA MATEMATICA,62,62.0,2,501,Primer Ciclo 2005,MATEMÁTICA (CIENCIAS BASICAS),4001,1,1,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20700,MATEMATICA I,52,52.0,6,501,Primer Ciclo 2005,MATEMATICA (CIENCIAS BASICAS),4001,1,1,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20700,MATEMATICA I,61,61.0,6,501,Primer Ciclo 2005,MATEMATICA (CIENCIAS BASICAS),4001,1,1,2,2da. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20643,INGENIERIA PRIMERO II,A,,1,502,Interciclo 2005,INGENIERÍA PRIMERO (OTROS),4001,1,1,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21000,QUIMICA I,56,56.0,5,502,Interciclo 2005,QUÍMICA (CIENCIAS BASICAS),4001,1,2,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21000,QUIMICA I,61,61.0,5,502,Interciclo 2005,QUÍMICA (CIENCIAS BASICAS),4001,1,2,2,2da. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20642,INGENIERIA PRIMERO III,51,51.0,1,601,Primer Ciclo 2006,INGENIERÍA PRIMERO (OTROS),6001,1,11,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20642,INGENIERIA PRIMERO III,38,38.0,1,701,Primer Ciclo 2007,INGENIERÍA PRIMERO (OTROS),6001,1,6,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20706,MATEMATICA II,80,80.0,4,801,Primer Ciclo 2008,MATEMÁTICA (CIENCIAS BASICAS),6001,1,2,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20077,CALCULO I,62,62.0,6,802,Interciclo 2008,MATEMATICA (CIENCIAS BASICAS),6001,1,3,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20077,CALCULO I,56,56.0,6,802,Interciclo 2008,MATEMATICA (CIENCIAS BASICAS),6001,1,3,2,2da. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20077,CALCULO I,65,65.0,6,803,Segundo Ciclo 2008,MATEMATICA (CIENCIAS BASICAS),6001,1,4,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20079,DIBUJO DE INGENIERIA,65,65.0,3,803,Segundo Ciclo 2008,,6001,1,1,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20644,INGENIERIA PRIMERO IV,80,80.0,1,803,Segundo Ciclo 2008,INGENIERÍA PRIMERO (OTROS),6001,1,8,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20683,INGENIERIA Y DESARROLLO SOSTENIBLE,72,72.0,2,803,Segundo Ciclo 2008,,6001,1,3,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,175,PENSAMIENTO IGNACIANO Y LANDIVARIANO (EDP),73,73.0,2,803,Segundo Ciclo 2008,,6001,1,23,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20081,CALCULO II,61,61.0,6,901,Primer Ciclo 2009,MATEMÁTICA (CIENCIAS BASICAS),6001,1,1,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20081,CALCULO II,65,65.0,6,901,Primer Ciclo 2009,MATEMÁTICA (CIENCIAS BASICAS),6001,1,1,2,2da. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20153,DISEÑO ASISTIDO POR COMPUTADORA,91,91.0,4,901,Primer Ciclo 2009,,6001,1,4,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20297,PROBABILIDAD Y ESTADÍSTICA,59,59.0,4,901,Primer Ciclo 2009,ESTADÍSTICA E INVESTIGACIÓN DE OPERACIONES ( PROFESIONAL),6001,1,6,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20297,PROBABILIDAD Y ESTADÍSTICA,65,65.0,4,901,Primer Ciclo 2009,ESTADÍSTICA E INVESTIGACIÓN DE OPERACIONES ( PROFESIONAL),6001,1,6,2,2da. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21013,FISICA I,45,45.0,6,802,Interciclo 2008,FISICA (CIENCIAS BASICAS),6001,1,3,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21013,FISICA I,52,52.0,6,903,Segundo Ciclo 2009,FISICA (CIENCIAS BASICAS),6001,1,2,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,179,INTRODUCCION A LOS PROBLEMAS DE LA SOCIEDAD GUATEMALTECA (EDP),66,66.0,4,1001,Primer Ciclo 2010,,6001,1,24,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,178,INTRODUCCION A LOS PROBLEMAS DEL SER HUMANO (EDP),49,49.0,4,1002,Interciclo 2010,,6001,1,24,1,1ra. convocatoria
5,52005,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,80.0,77.0,2,66.0,65.69000244140625,23,1,CAMPUS CENTRAL,2,INGENIERÍA,4,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,178,INTRODUCCION A LOS PROBLEMAS DEL SER HUMANO (EDP),65,65.0,4,1002,Interciclo 2010,,6001,1,24,2,2da. convocatoria
