anio,ID,sede,facultad,carrera,prom_simp_x_ciclo,prom_pond_x_ciclo,cursos_x_ciclo,Promedio_Simple_Acumulado,Promedio_Ponderado_Acumulado,cursos_acumulados,No_Sede,Sede,No_Facultad,Facultad,No_Carrera,Carrera,No_curso,Nombre_Curso,Nota,Nota_Calculo_Prom,Creditos,No_ciclo,Nombre_Ciclo,Eje,No_pensum,No_jornada,No_seccion_fac,No_tip_examen,Tipo_Examen
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),94,94.0,4,1901,Primer Ciclo 2019,,18001,1,23,1,1ra. convocatoria
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),74,74.0,4,1901,Primer Ciclo 2019,,18001,1,23,1,1ra. convocatoria
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,3,INGENIERÍA,5,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,312,INGLES 1,A,,0,1901,Primer Ciclo 2019,,18001,1,0,5,Suficiencia
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,3,INGENIERÍA,5,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,314,INGLES 2,A,,0,1901,Primer Ciclo 2019,,18001,1,0,5,Suficiencia
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,3,INGENIERÍA,5,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,316,INGLES 3,A,,0,1901,Primer Ciclo 2019,,18001,1,0,5,Suficiencia
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,3,INGENIERÍA,5,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,318,INGLES 4,A,,0,1901,Primer Ciclo 2019,,18001,1,0,5,Suficiencia
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,3,INGENIERÍA,5,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,320,INGLES 5,A,,0,1901,Primer Ciclo 2019,,18001,1,0,5,Suficiencia
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,3,INGENIERÍA,5,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,322,INGLES 6,A,,0,1901,Primer Ciclo 2019,,18001,1,0,5,Suficiencia
19,62119,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,84.0,2,83.66999816894531,83.80000305175781,3,1,CAMPUS CENTRAL,3,INGENIERÍA,5,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,378,MAGIS LANDIVARIANO (CFI),83,83.0,2,1902,Interciclo 2019,,18001,1,33,1,1ra. convocatoria
