,Unnamed: 0,año,ID,sede,facultad,carrera,prom_simp_x_ciclo,prom_pond_x_ciclo,cursos_x_ciclo,Promedio_Simple_Acumulado,Promedio_Ponderado_Acumulado,cursos_acumulados,No_Sede,Sede,No_Facultad,Facultad,No_Carrera,Carrera,No_curso,Nombre_Curso,Nota,Nota_Calculo_Prom,Creditos,No_ciclo,Nombre_Ciclo,Eje,No_pensum,No_jornada,No_seccion_fac,No_tip_examen,Tipo_Examen
0,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),90,90.0,4,1801,Primer Ciclo 2018,,18001,1,26.0,1,1ra. convocatoria
1,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),88,88.0,4,1801,Primer Ciclo 2018,,18001,1,26.0,1,1ra. convocatoria
2,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,312,INGLES 1,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
3,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20976,INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS,97,97.0,2,1801,Primer Ciclo 2018,,18001,1,1.0,1,1ra. convocatoria
4,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20295,INTRODUCCIÓN A LA PROGRAMACIÓN,68,68.0,6,1801,Primer Ciclo 2018,QUIMICA (CIENCIAS BASICAS),18001,1,1.0,1,1ra. convocatoria
5,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20700,MATEMATICA I,83,83.0,6,1801,Primer Ciclo 2018,MATEMATICA (CIENCIAS BASICAS),18001,1,6.0,1,1ra. convocatoria
6,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21000,QUIMICA I,75,75.0,6,1801,Primer Ciclo 2018,QUÍMICA (CIENCIAS BASICAS),18001,1,6.0,1,1ra. convocatoria
7,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20650,MATEMATICA DISCRETA I,92,92.0,4,1802,Interciclo 2018,CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA),18001,1,4.0,1,1ra. convocatoria
8,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20706,MATEMATICA II,48,48.0,4,1802,Interciclo 2018,MATEMÁTICA (CIENCIAS BASICAS),18001,1,3.0,1,1ra. convocatoria
9,,18,24718,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,84.0,82.7,4,83.16999816894531,81.55000305175781,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20706,MATEMATICA II,58,58.0,4,1802,Interciclo 2018,MATEMÁTICA (CIENCIAS BASICAS),18001,1,3.0,2,2da. convocatoria
