"","ID","item"
"112",1701,"Primer Ciclo- OTROS"
"113",1302,"Interciclo- CIENCAS DE INGENIERIA"
"114",1302,"Interciclo- CIENCIAS BASICAS"
"115",1402,"Interciclo- CIENCIAS BASICAS"
"116",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"117",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"118",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"119",1601,"Primer Ciclo- INGENIERIA APLICADA"
"120",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"121",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"122",1803,"Segundo Ciclo- "
"123",1901,"Primer Ciclo- CIENCIAS BASICAS"
"124",1802,"Interciclo- CIENCIAS BASICAS"
"125",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"126",1802,"Interciclo- CIENCAS DE INGENIERIA"
"127",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"128",1901,"Primer Ciclo- CIENCIAS BASICAS"
"129",1901,"Primer Ciclo- "
"130",1101,"Primer Ciclo- "
"131",1103,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"132",1101,"Primer Ciclo- CIENCIAS BASICAS"
"133",1201,"Primer Ciclo- CIENCIAS BASICAS"
"134",1202,"Interciclo- CIENCIAS BASICAS"
"135",1301,"Primer Ciclo- CIENCIAS BASICAS"
"136",1303,"Segundo Ciclo- CIENCIAS BASICAS"
"137",1401,"Primer Ciclo- CIENCIAS BASICAS"
"138",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"139",1203,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"140",1403,"Segundo Ciclo- OTROS"
"141",1503,"Segundo Ciclo- OTROS"
"142",1501,"Primer Ciclo- CIENCAS DE INGENIERIA"
"143",1603,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"144",1703,"Segundo Ciclo- OTROS"
"145",1801,"Primer Ciclo- CIENCAS DE INGENIERIA"
"146",1901,"Primer Ciclo- OTROS"
"147",1801,"Primer Ciclo- CIENCIAS BASICAS"
"148",1802,"Interciclo- CIENCIAS BASICAS"
"149",1401,"Primer Ciclo- CIENCIAS BASICAS"
"150",1402,"Interciclo- CIENCIAS BASICAS"
"151",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"152",1403,"Segundo Ciclo- CIENCIAS BASICAS"
"153",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"154",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"155",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"156",1501,"Primer Ciclo- CIENCAS DE INGENIERIA"
"157",1601,"Primer Ciclo- OTROS"
"158",1801,"Primer Ciclo- CIENCAS DE INGENIERIA"
"159",1901,"Primer Ciclo- OTROS"
"160",1901,"Primer Ciclo- CIENCIAS BASICAS"
"161",1901,"Primer Ciclo- CIENCIAS BASICAS"
"162",1902,"Interciclo- CIENCAS DE INGENIERIA"
"163",1801,"Primer Ciclo- CIENCIAS BASICAS"
"164",1801,"Primer Ciclo- CIENCIAS BASICAS"
"165",1801,"Primer Ciclo- CIENCIAS BASICAS"
"166",1802,"Interciclo- CIENCAS DE INGENIERIA"
"167",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"168",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"169",1901,"Primer Ciclo- CIENCIAS BASICAS"
"170",1902,"Interciclo- CIENCIAS BASICAS"
"171",1901,"Primer Ciclo- CIENCIAS BASICAS"
"172",1901,"Primer Ciclo- CIENCIAS BASICAS"
"173",1902,"Interciclo- CIENCAS DE INGENIERIA"
"174",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"175",1502,"Interciclo- CIENCAS DE INGENIERIA"
"176",1601,"Primer Ciclo- CIENCIAS BASICAS"
"177",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"178",1801,"Primer Ciclo- CIENCIAS BASICAS"
"179",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"180",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"181",1801,"Primer Ciclo- CIENCIAS BASICAS"
"182",1901,"Primer Ciclo- "
"183",1801,"Primer Ciclo- CIENCIAS BASICAS"
"184",1901,"Primer Ciclo- CIENCIAS BASICAS"
"185",1401,"Primer Ciclo- CIENCIAS BASICAS"
"186",1401,"Primer Ciclo- INGENIERIA APLICADA"
"187",1503,"Segundo Ciclo- CIENCIAS BASICAS"
"188",1503,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"189",1601,"Primer Ciclo- CIENCIAS BASICAS"
"190",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"191",1701,"Primer Ciclo- CIENCIAS BASICAS"
"192",1901,"Primer Ciclo- CIENCIAS BASICAS"
"193",1901,"Primer Ciclo- INGENIERIA APLICADA"
"194",1703,"Segundo Ciclo- INGENIERIA APLICADA"
"195",1803,"Segundo Ciclo- OTROS"
"196",501,"Primer Ciclo- CIENCIAS BASICAS"
"197",501,"Primer Ciclo- CIENCIAS BASICAS"
"198",502,"Interciclo- CIENCIAS BASICAS"
"199",601,"Primer Ciclo- OTROS"
"200",802,"Interciclo- CIENCIAS BASICAS"
"201",901,"Primer Ciclo- CIENCIAS BASICAS"
"202",901,"Primer Ciclo- PROFESIONAL"
"203",802,"Interciclo- CIENCIAS BASICAS"
"204",1002,"Interciclo- "
"205",1901,"Primer Ciclo- CIENCIAS BASICAS"
"206",1602,"Interciclo- "
"207",1602,"Interciclo- CIENCIAS BASICAS"
"208",1603,"Segundo Ciclo- CIENCIAS BASICAS"
"209",1701,"Primer Ciclo- CIENCIAS BASICAS"
"210",1603,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"211",1801,"Primer Ciclo- "
"212",1802,"Interciclo- PROFESIONAL"
"213",1803,"Segundo Ciclo- CIENCIAS BASICAS"
"214",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"215",1901,"Primer Ciclo- PROFESIONAL"
"216",1901,"Primer Ciclo- CIENCIAS BASICAS"
"217",1901,"Primer Ciclo- CIENCIAS BASICAS"
"218",1902,"Interciclo- CIENCAS DE INGENIERIA"
"219",1902,"Interciclo- CIENCIAS BASICAS"
"220",1601,"Primer Ciclo- "
"221",1602,"Interciclo- CIENCIAS BASICAS"
"222",1701,"Primer Ciclo- CIENCIAS BASICAS"
"223",1701,"Primer Ciclo- CIENCIAS BASICAS"
"224",1702,"Interciclo- CIENCAS DE INGENIERIA"
"225",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"226",1703,"Segundo Ciclo- CIENCIAS BASICAS"
"227",1703,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"228",1801,"Primer Ciclo- CIENCIAS BASICAS"
"229",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"230",1803,"Segundo Ciclo- CIENCAS DE INGENIERIA"
"231",1901,"Primer Ciclo- CIENCIAS BASICAS"
"232",1901,"Primer Ciclo- PROFESIONAL"
"233",1901,"Primer Ciclo- CIENCIAS BASICAS"
"234",1901,"Primer Ciclo- CIENCIAS BASICAS"
"235",1902,"Interciclo- CIENCAS DE INGENIERIA"
