"No_Sede","Sede","No_Facultad","Facultad","No_Carrera","Carrera","No_curso","Nombre_Curso","Nota","Nota_Calculo_Prom","Creditos","No_ciclo","Nombre_Ciclo","Eje","No_pensum","No_jornada","No_seccion_fac","No_tip_examen","Tipo_Examen"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000176","ESTRATEGIAS DE COMUNICACION LINGUISTICA (EDP)","68","68","4","1101","Primer Ciclo 2011",NA,"11001","01","23","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000272","ESTRATEGIAS DE RAZONAMIENTO (EDP)","61","61","4","1101","Primer Ciclo 2011",NA,"11001","01","23","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000272","ESTRATEGIAS DE RAZONAMIENTO (EDP)","70","70","4","1101","Primer Ciclo 2011",NA,"11001","01","23","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000312","INGLES 1","A",NA,"0","1101","Primer Ciclo 2011",NA,"11001","06",NA,"05","Suficiencia"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021207","INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS (11001)","70","70","2","1101","Primer Ciclo 2011","INFORMÁTICA (INGENIERÍA APLICADA)","11001","01","01","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021208","MATEMATICA DISCRETA I (11001)","65","65","4","1102","Interciclo 2011","CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA)","11001","01","02","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020995","INTRODUCCION A LA PROGRAMACION (11001)","70","70","6","1103","Segundo Ciclo 2011","PROGRAMACIÓN (CIENCIAS DE INGENIERIA)","11001","01","06","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021209","MATEMATICA DISCRETA II (11001)","56","56","4","1103","Segundo Ciclo 2011","CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA)","11001","01","01","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021209","MATEMATICA DISCRETA II (11001)","63","63","4","1103","Segundo Ciclo 2011","CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA)","11001","01","01","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021209","MATEMATICA DISCRETA II (11001)","67","67","4","1201","Primer Ciclo 2012","CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA)","11001","01","01","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020987","MATEMATICA I (11001)","47","47","6","1101","Primer Ciclo 2011","MATEMÁTICA (CIENCIAS BASICAS)","11001","01","03","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020987","MATEMATICA I (11001)","54","54","6","1101","Primer Ciclo 2011","MATEMÁTICA (CIENCIAS BASICAS)","11001","01","03","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020987","MATEMATICA I (11001)","49","49","6","1103","Segundo Ciclo 2011","MATEMÁTICA (CIENCIAS BASICAS)","11001","01","04","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020987","MATEMATICA I (11001)","65","65","6","1103","Segundo Ciclo 2011","MATEMÁTICA (CIENCIAS BASICAS)","11001","01","04","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000175","PENSAMIENTO IGNACIANO Y LANDIVARIANO (EDP)","91","91","2","1103","Segundo Ciclo 2011",NA,"11001","01","22","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020988","QUIMICA I (11001)","72","72","6","1103","Segundo Ciclo 2011","QUÍMICA (CIENCIAS BASICAS)","11001","01","02","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000314","INGLES 2","A",NA,"0","1201","Primer Ciclo 2012",NA,"11001","04","51","01","1ra. convocatoria"
