"No_Sede","Sede","No_Facultad","Facultad","No_Carrera","Carrera","No_curso","Nombre_Curso","Nota","Nota_Calculo_Prom","Creditos","No_ciclo","Nombre_Ciclo","Eje","No_pensum","No_jornada","No_seccion_fac","No_tip_examen","Tipo_Examen"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000016","LENGUAJE I","73","73","4","0001","Primer Ciclo 2000","PERSONAL Y ESTÉTICA (CIENCIAS SOCIALES Y HUMANIDADE)","97001","01","23","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000002","LOGICA","64","64","4","0001","Primer Ciclo 2000","MATEMÁTICA (CIENCIAS BASICAS)","97001","01","23","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020700","MATEMATICA I","79","79","5","0001","Primer Ciclo 2000","MATEMATICA (CIENCIAS BASICAS)","97001","01","03","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021008","PROGRAMACION I","83","83","6","0001","Primer Ciclo 2000","PROGRAMACIÓN (CIENCIAS DE INGENIERIA)","97001","01","03","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021000","QUIMICA I","70","70","4","0001","Primer Ciclo 2000","QUÍMICA (CIENCIAS BASICAS)","97001","01","03","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020825","MATEMATICA DISCRETA","62","62","4","0002","Interciclo 2000","CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA)","97001","01","02","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020706","MATEMATICA II","64","64","5","0002","Interciclo 2000","MATEMÁTICA (CIENCIAS BASICAS)","97001","01","01","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020077","CALCULO I","63","63","6","0003","Segundo Ciclo 2000","MATEMATICA (CIENCIAS BASICAS)","97001","01","05","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021013","FISICA I","63","63","5","0003","Segundo Ciclo 2000","FISICA (CIENCIAS BASICAS)","97001","01","05","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000007","METODOLOGIA DE LA INVESTIGACION","74","74","4","0003","Segundo Ciclo 2000","PERSONAL Y ESTÉTICA (CIENCIAS SOCIALES Y HUMANIDADE)","97001","01","25","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020080","PROGRAMACION II","56",NA,"6","0003","Segundo Ciclo 2000","PROGRAMACIÓN (CIENCIAS DE INGENIERIA)","97001","01","01","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020080","PROGRAMACION II","56","56","6","0003","Segundo Ciclo 2000","PROGRAMACIÓN (CIENCIAS DE INGENIERIA)","97001","01","01","02","2da. convocatoria"
